,points_x,points_y,celltypes,phenotypes
484,4.41173,9.77571,Stroma,
485,4.67691,10.3465,Stroma,
486,4.31366,11.1677,Stroma,
487,3.8937,11.9853,Stroma,
488,3.53384,12.9338,Stroma,
489,3.45228,14.217,Stroma,
490,3.83861,14.8448,Stroma,
491,5.30221,15.7267,Stroma,
492,7.93805,19.4491,Stroma,
493,5.93125,15.9417,Stroma,
494,6.27345,17.1378,Stroma,
495,7.61291,18.0369,Stroma,
496,10.6122,21.1093,Stroma,
497,8.19236,22.32,Stroma,
498,8.00724,20.2657,Stroma,
499,3.53433,20.2815,Stroma,
500,4.16977,20.5086,Stroma,
501,4.62922,20.9985,Stroma,
502,3.49073,22.7058,Stroma,
503,4.56631,23.3009,Stroma,
504,3.75527,23.9207,Stroma,
505,4.17851,25.2383,Stroma,
506,4.23896,26.6254,Stroma,
507,3.82427,27.1112,Stroma,
508,3.79781,27.703,Stroma,
509,5.20212,29.005,Stroma,
510,4.48259,29.6696,Stroma,
511,4.62844,31.649,Stroma,
512,6.82061,29.6208,Stroma,
513,8.18892,32.9494,Stroma,
514,8.02049,36.2927,Stroma,
515,7.00933,36.0597,Stroma,
516,8.60337,36.3215,Stroma,
517,8.57361,37.125,Stroma,
518,8.843,38.5868,Stroma,
519,9.78426,34.5675,Stroma,
520,10.4685,36.2361,Stroma,
521,5.85476,40.134,Stroma,
522,4.89437,40.4449,Stroma,
523,4.31338,40.8294,Stroma,
524,5.18351,41.0172,Stroma,
525,4.31994,44.625,Stroma,
526,4.96203,44.6666,Stroma,
527,4.48608,45.5721,Stroma,
528,4.77763,46.2244,Stroma,
529,4.80464,46.8893,Stroma,
530,4.78846,47.6082,Stroma,
531,4.1096,47.5837,Stroma,
532,5.13781,48.42,Stroma,
533,5.77268,48.4186,Stroma,
534,5.36611,49.2087,Stroma,
535,8.08384,50.0,Stroma,
536,5.57812,0.0,Stroma,
537,5.93539,0.77936,Stroma,
538,5.97135,1.62492,Stroma,
539,6.13671,2.34254,Stroma,
540,5.96252,2.94395,Stroma,
541,6.4156,3.33924,Stroma,
542,6.31854,3.93243,Stroma,
543,6.27082,4.64675,Stroma,
544,6.69011,5.1432,Stroma,
545,6.85082,5.76466,Stroma,
546,5.9666,6.17709,Stroma,
547,5.40004,7.28047,Stroma,
548,5.78656,7.79398,Stroma,
